-0.56	-0.875	0
-0.455	-0.7	1.5
0.07	-0.7	1.5
0.595	-0.7	1.5
1.12	-0.7	1.5
1.12	-0.175	1.5
0.595	-0.175	1.5
0.07	-0.175	1.5
0.07	0.35	1.5
0.07	0.875	1.5
-0.455	0.875	1.5
-0.455	0.35	1.5
-0.455	-0.175	1.5
-0.455	-0.7	1.5
0.07	-0.7	1.5
0.07	-0.175	1.5
0.07	0.35	1.5
-0.455	0.35	1.5
-0.455	0.875	1.5
0.595	0.875	1.5
0.07	0.875	1.5
-0.455	0.875	1.5
-0.455	0.35	1.5
-0.672	0.651	0.6
0.07	0.35	1.5
0.07	-0.175	1.5
0.07	-0.7	1.5
-0.455	-0.7	1.5
-0.455	-0.175	1.5
0.595	0.35	1.5
1.12	0.35	1.5
1.12	-0.175	1.5
1.12	-0.7	1.5
0.595	-0.7	1.5
0.595	-0.175	1.5
0.07	0.35	1.5
-0.455	0.35	1.5
-0.455	0.875	1.5
0.07	0.875	1.5
0.595	0.875	1.5
1.12	0.875	1.5
1.645	0.875	1.5
1.645	0.35	1.5
1.12	0.35	1.5
0.91	0.595	0.6
0.595	0.35	1.5
0.595	-0.175	1.5
0.07	-0.175	1.5
0.07	-0.7	1.5
-0.455	-0.7	1.5
-0.455	-0.175	1.5
-0.455	0.35	1.5
0.07	0.35	1.5
0.07	0.875	1.5
-0.455	0.875	1.5
0.595	0.875	1.5
0.595	0.35	1.5
1.12	0.35	1.5
